CKG_NM,INQ_CNT,RCMM_CNT,SRAP_CNT,CKG_MTH_ACTO_NM,CKG_MTRL_ACTO_NM,CKG_KND_ACTO_NM,CKG_MTRL_CN,vegetarian_type
스팸김치볶음,100,0,1,볶음,가공식품류,밑반찬,['재료 묵은지1포기 스팸1캔 설탕1스푼 들기름2스푼 통깨1스푼'],Omnivore
아기찜닭,690,0,2,끓이기,닭고기,메인반찬,['재료 닭다리살400g 양파12개 감자1개 당근14개 대파12대 다진마늘05T 진간장2T 올리고당1T 물200ml또는 육수 우유 현미유'],Omnivore
소고기야채말이찜,3094,0,9,찜,소고기,메인반찬,['재료 소고기400g샤브용 또는 불고깃감 숙주200g 미나리12단 청경채적당량 팽이버섯1봉지 소스 간장35큰술 레몬즙15큰술 설탕1큰술 다진마늘1큰술 고춧가루05큰술 후추톡톡'],Omnivore
오이고추방아전,192,0,1,부침,채소류,메인반찬,['재료 오이고추161g 오징어1마리 방아잎22g 홍고추1개 청양고추1개기호에 따라 반죽 튀김가루50g 부침가루50g 물100ml 소금1꼬집'],Pescatarian
소고기소보로,1128,0,5,부침,소고기,메인반찬,['재료 소고기다짐육100g 대파12대 당근20g 애호박20g 진간장1T 맛술05T 올리고당05T 참기름1T 다진마늘05T 현미유'],Omnivore
감자구이,294,0,0,굽기,채소류,기타,['재료 찐 감자4개중사이즈 찐 고구마1개주먹크기 식용유2T 설탕1T 선택재료 소금1t 시나몬가루1t'],Super_Vegan
대파감자스프,924,0,0,끓이기,채소류,스프,['재료 껍질 깐 감자350g중사이즈 약 4개 껍질 깐 양파05개중사이즈 손질한 대파2대 물250ml 우유250ml 무염버터30g 올리브유5T 소금1꼬집 간하기 소금07t 참치액05t 후추아주조금'],Pescatarian
대패삼겹말이,1064,0,11,조림,돼지고기,메인반찬,['재료 대패삼겹살200g 깻잎5장 대파14대 팽이버섯12봉 양념장 진간장1큰술 굴소스05큰술 다진마늘05큰술 설탕05큰술 맛술1큰술 물2큰술 올리고당1큰술 참기름1큰술'],Omnivore
크림치즈머핀,146,0,1,굽기,밀가루,디저트,['재료 계란2개 크림치즈140g 버터90g 설탕60g 박력분100g 아몬드가루10g 베이킹파우더12t 슈가파우더10g'],Lacto-Ovo_Vegetarian
망고요거트머핀,151,0,1,굽기,과일류,디저트,['재료 박력분125g 베이킹파우더4g 실온 무염버터75g 실온 달걀75g 설탕75g 플레인요거트50g 바닐라익스트랙1g 냉동망고90g생망고'],Lacto-Ovo_Vegetarian
새우깡,130,0,1,튀김,해물류,기타,['재료 두절건새우 튀김가루1T 식용유 소금 파슬리'],Pescatarian
조개라면,1119,0,0,끓이기,해물류,면/만두,['재료 라면1개취향에 맞는 조개취향껏 다진마늘1T 파1줌 물600ml'],Omnivore
망고라씨,351,0,3,기타,과일류,디저트,['재료 냉동 망고 다이스200g생망고 대체 가능 무가당 플레인요거트160g 꿀2T'],Lacto-Ovo_Vegetarian
돈채짜장,217,0,0,끓이기,돼지고기,기타,['재료 60인분 돼지고기6kg잡채용 양파5ea 대파3ea 볶음춘장2kg 설탕300g 전분가루200g 소금50g 후추50g'],Omnivore
찰옥수수삶는법,1301,0,2,삶기,채소류,기타,['재료 옥수수5개 물15L 소금1큰술 설탕3큰술'],Super_Vegan
초코크림라떼,2697,0,1,기타,달걀/유제품,차/음료/술,['초코크림베이스재료 동물성 휘핑크림60g 핫초코 파우더30g 그 외 재료 얼음적당량 우유115ml 에스프레소1샷 초코시럽적당량'],Lacto-Ovo_Vegetarian
멜론빙수,137,0,0,기타,과일류,디저트,['재료 1인분 머스크 멜론12통 구운 아몬드10개 무가당 두유1팩'],Super_Vegan
두부보관법,232,0,1,기타,기타,기타,['재료 생수500ml 굵은 소금1t'],Super_Vegan
레디쉬밥만들기,89,0,3,삶기,쌀,밥/죽/떡,['재료 찰현미4컵 레디쉬10개'],Super_Vegan
치킨너겟,2204,0,35,굽기,가공식품류,메인반찬,['재료 치킨너겟300g 양념 설탕2T 진간장2T 식초1T 다진마늘1T 올리고당1T 물2T'],Omnivore
브로콜리새송이버섯무침,879,0,1,무침,채소류,밑반찬,['기본 재료 찐 새송이버섯200g 찐 브로콜리200g 소스 재료 순두부300g 다진 마늘2T 들깨가루5T 양조간장1T 굴소스1T 참기름1t'],Pescatarian
무침만두,913,0,16,무침,가공식품류,면/만두,['재료 냉동만두12봉 고춧가루4T 설탕4T 물4T 고추장1T듬뿍 굴소스1T 케첩2T'],Omnivore
오리고기굴소스볶음밥,296,0,4,볶음,가공식품류,밥/죽/떡,['재료 대파2개 양파12개 청량고추1개 달걀2개 토마토12개 밥2공기 오리고기2인분 양념 소금톡톡 굴소스1T 통깨1T 다진마늘1T'],Omnivore
오리고기샌드위치,84,0,3,볶음,가공식품류,빵,['재료 오리고기1인분 오이16개 양파5조각 양상추1장 피망4조각 식빵2조각 마늘3개 양념 머스타드적당량'],Omnivore
팽이버섯부추새우전,236,0,2,부침,채소류,밑반찬,['재료 팽이버섯100g 새우100g 부추30g 청양고추1개 홍 고추1개 계란3개 부침가루50ml'],Pescatarian
수박모히또,460,0,1,기타,과일류,차/음료/술,['재료 수박78조각 사이다100ml 애플민트45송이 레몬즙1스푼 청귤청1스푼 청귤청1조각또는 레몬 라임'],Super_Vegan
감자솥밥,93,0,1,끓이기,쌀,밥/죽/떡,['감자솥밥 재료 쌀3인분 감자3개 호랑이콩1줌 당근12개 다시마조금 들기름2수저 감자솥밥 양념장 간장3수저 참치액젓1수저 고추가루12수저 다진마늘1수저 참기름1수저 통깨1수저 설탕2수저 대파1뿌리 청양고추3개 홍고추1개 양파14개'],Pescatarian
오이나물초무침,194,0,0,무침,채소류,밑반찬,['재료 오이1개 무200g 당근16개 양파14개 청양고추1개 양념 고추장1큰술 고춧가루1큰술 진간장12큰술 식초2큰술 매실청2큰술 다진 마늘1큰술 통깨약간 단촛물 설탕1큰술 소금1작은술 식초3큰술 물12컵'],Super_Vegan
두부당면조림,404,0,13,끓이기,가공식품류,메인반찬,['재료 두부1모300g 당면80g 대파13대 청양고추13개 재료 고춧가루2큰술 설탕1큰술 진간장2큰술 참치액1큰술 참기름1큰술 고추장12큰술 다진마늘1큰술 올리고당1큰술'],Pescatarian
꽈리고추보리새우볶음,306,0,1,볶음,채소류,밑반찬,['재료 꽈리고추2줌 보리새우1컵 홍고추1개 양념 진간장2술 마늘1술 식용유1술 참기름1술 홍고추1개 대파14줄 맛술1줄 통깨'],Pescatarian
가지모짜렐라피자,134,0,0,굽기,채소류,빵,['재료 가지1개 맛살2개 양파14개 양념 스파게티소스2술 후추톡'],Pescatarian
호박잎찜,631,0,4,찜,채소류,메인반찬,['재료 호박잎20장 식초약간'],Super_Vegan
메추리알감자조림,821,0,4,조림,채소류,밑반찬,['재료 감자2개 메추리알15개 양념 다진마늘12스푼 간장4스푼 맛술1스푼 설탕1스푼 올리고당25스푼 후추 통깨 물200ml'],Lacto-Ovo_Vegetarian
깻잎들깨볶음,1336,0,5,끓이기,채소류,밑반찬,['재료 깻잎순2300g 대파2T 양념재료 다진마늘1T 간장1T 멸치액젓1T 매실액1T 식용유1T 물100ml 들깨가루4T 참기름1T'],Pescatarian
아보카도파스타,141,0,5,기타,기타,면/만두,['재료 스파게티면40g통밀면 양파12개 닭안심살100g 아보카도12개 양념 우유100ml 간장12큰술 알룰로스20g 다진 마늘1작은술 올리브유 소금 후추'],Omnivore
초코머핀,338,0,3,굽기,밀가루,디저트,['재료머핀5개분량 박력분90g 녹인 무염버터70g 우유70ml 달걀70g 설탕50g 소금1g 꿀15g 베이킹파우더3g 코코아파우더30g 아몬드가루20g 빅청크 초코칩70g'],Lacto-Ovo_Vegetarian
수박샐러드,98,0,14,기타,과일류,샐러드,['수박 샐러드 재료 수박 긴3조각 무지개 방울토마토4알 오이13개 리코타치즈적당히 올리브오일적당히 화이트 발사믹적당히 레몬즙적당히 파슬리가루적당히'],Lacto-Ovo_Vegetarian
오징어야채전,153,0,0,부침,해물류,메인반찬,['생략가능재료 햄소량 재료 손질된 오징어2마리 감자1개 양파12개 애호박12개 고추2개 부침가루1그릇밥그릇 물1컵'],Omnivore
고추바사삭치킨,2384,0,9,굽기,닭고기,양식,['재료 닭600g 다진 청양고추1큰술 맛소금1꼬집 후추1꼬집 다진 마늘1큰술 카레 가루1큰술 고춧가루1큰술 허브솔트1큰술or 파슬리 튀김가루3큰술 빵가루5큰술 기름약간'],Omnivore
상추장아찌,369,0,3,기타,채소류,밑반찬,['재료 상추500g 양파2개 고추23개 물150ml 간장150ml 식초150ml 매실액150ml 설탕3큰술'],Super_Vegan
다이어트샐러드,1009,0,7,기타,채소류,샐러드,['재료 오이1개 양파1개 소금1큰술 노란 파프리카1개 빨간 파프리카1개 청양고추2개 삶은 계란3개 다진 아몬드1큰술 올리브오일5큰술 간장1큰술 발사믹식초4큰술 매실청1큰술 꿀1큰술 발사믹글레이즈'],Lacto-Ovo_Vegetarian
라이스페이퍼치즈떡볶이,425,0,2,끓이기,기타,퓨전,['재료 라이스페이퍼10장 모짜렐라치즈 떡볶이소스 물500ml 코인육수1개미원 가능 고추장1큰술밥숟가락계량 고춧가루1큰술 진간장1큰술 황설탕1큰술 선택 대파14대 양배추16개 삶은달걀2개'],Pescatarian
훈제오리덮밥,258,0,2,볶음,육류,메인반찬,['재료 훈제오리180g 양파1개 대파1줌 계란2개 양념 간장1t 굴소스05t 알룰로스1t 다진마늘1t'],Omnivore
사색덮밥,62,0,0,볶음,소고기,밥/죽/떡,['재료 시금치1줌 당근12개 소고기 다진거1컵 달걀2개 우유4큰술 밥2공기 식용유2큰술 소금약간 시금치 양념 설탕1작은술 통깨1작은술 간장1큰술 소금약간 소고기 양념 설탕1작은술 간장1큰술 맛술1큰술 다진 마늘1큰술 참기름1큰술 통깨1작은술 후춧가루약간'],Omnivore
푸팟퐁커리,2069,0,6,끓이기,달걀/유제품,밥/죽/떡,['레시피 재료계량기준어른수저 크래미 양파1개 계란2개 버터 카레가루5T 우유500mlor 코코넛밀크 치킨스톡1T 맛술1T'],Omnivore
땅콩볶음,422,0,2,볶음,콩/견과류,밑반찬,['재료 생땅콩500g 간장6스푼 설탕1스푼 매실1스푼 쌀엿2스푼 맛술1스푼 참기름1스푼 통깨1스푼 물1컵200ml 땅콩 삶을 때 식초2스푼 식용유1스푼'],Super_Vegan
홍감자삶는법,420,0,4,삶기,채소류,기타,['재료 계량  밥숟가락 계량컵  홍감자5개 물500ml 스테비아1 소금05'],Super_Vegan
실곤약잡채,540,0,2,볶음,가공식품류,밑반찬,['재료 실곤약200g 양파12개 당근12개 부추4쪽 양념 다진마늘1T 간장3T 설탕1T 참기름1T 소금약간 후추약간 식용유약간'],Super_Vegan
초당옥수수솥밥,73,0,0,끓이기,쌀,밥/죽/떡,['재료 쌀2컵 초당옥수수1개 소금약간 물15컵'],Super_Vegan
고구마순무침,2495,0,25,무침,채소류,밑반찬,['재료 고구마줄기900g손질후 무게 굵은소금1T데칠때 다진파2T 다진마늘1T 고운들깨가루15T 고춧가루1T 국간장1T 갈은깨1T 된장15T 고추장1T 고운소금13T 들기름1T'],Pescatarian
복숭아병조림,267,0,3,조림,과일류,디저트,['재료 복숭아3개 애플민트1g 베이킹소다2숟가락 복숭아병조림물 설탕80g 레몬즙2숟가락 물500ml'],Super_Vegan
오이장아찌무침,137,0,0,무침,채소류,밑반찬,['재료 오이3개 다진마늘1t 파1움큼 고춧가루1T 설탕12t 통깨약간'],Super_Vegan
아기떡만둣국,513,0,3,끓이기,가공식품류,국/탕,['재료 떡1인분 만두10개 해물육수1L 양파14개 대파13대 달걀1개 국간장12스푼 소고기소보로선택'],Omnivore
아기소고기뭇국,464,0,1,끓이기,소고기,국/탕,['재료 양지 덩어리300g 무2조각 대파1대 다진마늘1T 국간장2T 소금선택 후추선택'],Omnivore
닭가슴살크랜베리샌드위치,147,0,2,끓이기,닭고기,빵,['재료 양상추 아몬드 닭안심살 마요네즈3T 그릭요거트1T 꿀2T 후추 크랜베리 홀그레인머스타드1T 체다치즈1장'],Omnivore
딸기케이크,298,0,1,기타,과일류,디저트,['재료 딸기 생크림 설탕3T 치즈케이크빵 슈가파우더25g'],Lacto-Ovo_Vegetarian
연어포케샐러드,1594,0,11,비빔,해물류,샐러드,['재료 연어 새우 통조림옥수수 각종 야채양상추 양파 방울토마토 오이 등 간장소스 진간장2수저 알롤로스2수저 식초2수저 참기름1수저 매콤마요소스 스리라차2수저 마요네즈2수저 알롤로스1수저 다진피클없어도 됨'],Pescatarian
베이컨볶음밥,283,0,0,볶음,가공식품류,밥/죽/떡,['재료 밥2공기 베이컨6줄 대파1대 당근65g 묵은지50g 계란2개 진간장2큰술 굴소스1큰술 통깨3큰술 참기름1바퀴 식용유넉넉히'],Omnivore
스팸부추전,218,0,1,부침,채소류,퓨전,['재료 부추150g 홍고추15개고명용 스팸1캔115g 부추전 반죽 부침가루23컵 튀김가루13컵 물1컵 다진마늘소량'],Omnivore
가지냉국,1802,0,0,기타,채소류,밑반찬,['재료 가지2개손질후 167g 냉면육수1봉지335g 홍고추1개7g 다진 마늘02큰술 통깨0506넉넉하게'],Pescatarian
아기고추장,494,0,2,끓이기,채소류,양념/소스/잼,['재료 마늘50g 빨간 파프리카 1개145g꼭지 씨 제거한무게 채수240ml 찹쌀가루10g 쌀조청30g 소금4g 빨간 파프리카가루80g 청국장가루20g 표고버섯가루10g 마늘가루15g'],Pescatarian
닭안심굴소스볶음,587,0,5,볶음,닭고기,메인반찬,['재료 닭안심500g 양파12개 당근14개 감자1개 고추2개 양념 굴소스2T 간장2T 후추가루조금 깨조금'],Omnivore
표고베이컨볶음,39,0,0,볶음,채소류,밑반찬,['재료 60인분 표고버섯4kg 베이컨2kg 대파3ea 양념 다진마늘100g 굴소스200g 참기름100ml 참깨50g'],Omnivore
대패삼겹파스타,427,0,7,기타,돼지고기,퓨전,['재료 파스타면2인분 대패삼겹살300g 양파12개 청양고추1개 후추톡톡 양념 마늘3개 굴소스2T 간장2T'],Omnivore
항정살된장구이,243,0,3,굽기,돼지고기,메인반찬,['메인재료 돼지고기 항정살600g 양파12개 대파1대 통깨1꼬집 들기름1T 올리고당2t 양념 된장3T 진간장1T 생강술2T 미림1T 설탕15T 다진마늘4T 들기름1T 후추2꼬집'],Omnivore
자두라떼,125,0,5,기타,과일류,디저트,['재료 자두4개 꿀3스푼 설탕12스푼 우유1컵 얼음'],Lacto-Ovo_Vegetarian
양배추대패덮밥,1439,0,5,볶음,돼지고기,밥/죽/떡,['재료수저밥수저 밥1인분 대패삼겹살1줌 채썬 양배추2줌 계란1알 다진마늘1수저 진간장1수저 설탕05수저 굴소스05수저 후추톡톡 통깨'],Omnivore
애호박두부조림,534,0,3,조림,콩/견과류,밑반찬,['재료 두부500g 양파1개 애호박1개 양념장 간장5T 고춧가루4T 올리고당3T 다진마늘2T 매실액기스2T 참기름1T 미림1T 물200ml'],Super_Vegan
북어떡국,339,0,1,끓이기,쌀,국/탕,['재료 떡국떡300g 국간장1T 북어채40g 멸치육수1L 다진마늘05T 국간장1T 어간장05T 대파1대 계란2알'],Pescatarian
단호박오리훈제,287,0,1,찜,기타,기타,['재료 단호박1개분깍뚝썰기 오리훈제12마리 모짜렐라치즈150g 양념 후추톡톡'],Omnivore
목이버섯볶음,399,0,0,볶음,버섯류,밑반찬,['재료 목이버섯 크게1줌말린것 적양파12개 청양고추2개 통마늘5쪽 양념 진간장1술 굴소스2술 마늘1술 들기름2술 참기름1술 통깨적당'],Pescatarian
검은콩삶기,3003,0,1,삶기,콩/견과류,기타,['재료 서리태 검은콩400ml2컵 물500ml'],Super_Vegan
오트밀볶음밥,519,0,6,볶음,곡류,밥/죽/떡,['기본 재료 오트밀40g압착 귀리 깐 마늘70g 간 마늘1T 양파50g 계란1개 두부150g 다진 브로콜리2T 양념 재료 아보카도오일05T 굴 농축액05T 소금약간 물약간'],Pescatarian
단호박브라우니,287,0,2,굽기,기타,디저트,['재료 단호박300g생 단호박 무가당 카카오가루30g 계란2개 다진 호두3개 무가당 아몬드밀크30ml 아보카도오일1t 베이킹파우더1t 시나몬 가루1t 소금05t'],Lacto-Ovo_Vegetarian
마약김밥,332,0,3,기타,기타,밥/죽/떡,['재료 김밥김4장 밥2공기 당근23개 어묵2장 단무지4줄 시금치90g 참기름1큰술 맛소금12꼬집 깨소금1작은술 진간장1큰술 맛술12큰술 올리고당23큰술 겨자소스 양조간장1큰술 물12큰술 연겨자1작은술 올리고당1작은술 식초1작은술'],Pescatarian
보말밥,165,0,1,끓이기,해물류,밥/죽/떡,['재료 따게비1kg 소주1술 양념 진간장2술 양파12개 참기름2술 후추톡 통깨적당 대파조금'],Pescatarian
감자찌개,1330,0,2,끓이기,채소류,찌개,['재료 감자3개 대파3개 스테비아1티스푼 고춧가루2숟갈 다진 마늘1숟갈 진간장2숟갈 멸치육수2컵 청양고추2개'],Pescatarian
데리야끼닭갈비구이,448,0,1,굽기,닭고기,메인반찬,['재료 닭다리살1kg 우유700g 허브솔트2큰술 후추1큰술 데리야끼소스3큰술 오코노미야끼소스4큰술 마요네즈4큰술 머스터드소스2큰술 레몬즙1작은술'],Omnivore
오리백숙,1346,0,2,찜,육류,기타,['재료 찹쌀100g 녹두100g 엄나무120g 가시오가피60g 헛개나무50g 통마늘150g 은행5개 대추8개 인삼1뿌리 누룽지1개 오리1마리17kg 물25L'],Omnivore
아몬드멸치볶음,359,0,1,볶음,건어물류,밑반찬,['재료 멸치40g어린이 아몬드20g 양념 매실원액1T아빠숟가락'],Pescatarian
잠봉뵈르파스타,504,0,1,기타,기타,양식,['파스타 링귀네80g 다진마늘12작은술 계란 노른자1알 버터1큰술 파마산치즈051컵 면수1큰술 흑후추 토핑 잠봉40g 버터10g 흑후추'],Lacto-Ovo_Vegetarian
애그마요샌드위치,509,0,16,찜,달걀/유제품,빵,['모닝빵 에그마요 샌드위치 재료 모닝빵4개 계란3개 감자2개 소금조금 후추조금 메이플시럽1큰술 홀그레인머스터드12큰술 마요네즈2큰술 파슬리 가루적당히'],Lacto-Ovo_Vegetarian
깻잎자반,510,0,6,볶음,채소류,메인반찬,['재료 깻잎50장 식용유2스푼 들기름1스푼 소금약간 깨소금1스푼'],Super_Vegan
망고사고,978,0,2,기타,과일류,차/음료/술,['재료 사고펄100g 물1L 우유50ml 코코넛밀크500ml 망고3개 수박취향껏 나타드코코150g 연유취향껏 얼음조금'],Lacto-Ovo_Vegetarian
닭떡꼬치,83,0,0,튀김,닭고기,기타,['재료 떡볶이떡16개 닭다리살300g 소금 후추 맛살 튀김가루 간장3T 굴소스1T 설탕1T 올리고당1T 다진마늘12T 매실청1T 식용유 양념치킨소스'],Omnivore
부추나물,501,0,3,무침,채소류,밑반찬,['재료 부추 소금1t 참기름2T 통깨'],Super_Vegan
오이김무침,103,0,1,무침,채소류,밑반찬,['재료 오이1개 아기김2g 양념 참기름1t'],Super_Vegan
콜드파스타샐러드,190,0,0,비빔,채소류,샐러드,['메인 재료 숏 파스타160200g푸질리 토마토1개 블랙 올리브45개 참치1캔 모짜렐라치즈1개 바질페스토1스푼 올리브오일45스푼 소금12스푼 후추약간 파마산치즈가루23스푼'],Pescatarian
단호박찌는법,1558,0,3,찜,채소류,기타,['재료 단호박1개 베이킹소다1큰술 물적당량'],Super_Vegan
마늘샷,584,0,0,기타,기타,차/음료/술,['재료 다진마늘2개 레몬1개 마누카꿀2T'],Vegan
채소계란말이,122,0,2,부침,달걀/유제품,밑반찬,['재료 계란3개 당근1토막 양파14 아기 새송이버섯2개 부추조금 청양고추1개선택 식용유1T 양념 맛술1T 죽염12t 후추톡톡톡'],Lacto-Ovo_Vegetarian
명란젓찌개,365,0,3,끓이기,해물류,찌개,['재료 명란젓6줄 물300ml 고추가루1T 다진마늘05T 양파14개 코인육수1알 참기름05T 청양고추2개'],Pescatarian
황도복숭아병조림,1078,0,4,끓이기,과일류,디저트,['재료 황도복숭아3개 설탕200ml 물400ml 레몬즙2스푼'],Super_Vegan
라이스페이퍼가지튀김,705,0,19,튀김,채소류,메인반찬,['가지튀김 재료 가지2개 라이스페이퍼여러장 간장소스적당히 깨조금'],Super_Vegan
요구르트수박화채,376,0,13,기타,과일류,디저트,['수박과일화채 재료 수박적당히 골드키위12개 냉동 블루베리적당히 치아씨드13큰술 드링킹 요구르트150ml'],Lacto-Ovo_Vegetarian
감자칩감자전,2106,0,4,부침,가공식품류,과자,['재료 포카칩1봉지 모짜렐라치즈4큰술 소스 스리라차2큰술 마요네즈2큰술'],Lacto-Ovo_Vegetarian
양파치즈빵,938,0,1,굽기,채소류,빵,['재료 모닝빵6개 양파12개작은것 체다치즈2장 모짜렐라치즈듬뿍 파슬리가루약간 양념 마요네즈3T 설탕약간'],Lacto-Ovo_Vegetarian
냉메밀소바,580,0,2,삶기,밀가루,면/만두,['메밀소바 재료 메밀면3인분 쯔유3인분 무조금갈은 무 다진파조금 겨자조금 김가루조금 쯔유 재료 멸치1줌 새우1줌 가스오부시1줌 황태머리2개 다시마2장손바닥크기 양파1개 무14개 대파2뿌리 쯔유 양념 물3L 간장12컵 미림1컵 청주1컵 설탕12컵 소금12수저'],Pescatarian
팽이버섯롤,151,0,3,튀김,버섯류,메인반찬,['재료 팽이버섯2팩 라이스페이퍼4장 양념장 간장1T 식초12T 다진마늘12T 올리고당12T 다진파1T'],Super_Vegan
접이김밥,51,0,0,굽기,달걀/유제품,밥/죽/떡,['재료 밥1공기 소금약간 참기름약간 깨소금약간 햄100g 김3장 계란3개 오이1개 토마토1개 상추6장 치즈3장'],Omnivore
오이온국,58,0,0,끓이기,채소류,국/탕,['재료 오이1개 홍초1개 양파14개 물4컵 동전육수2개 멸치액젓2숟가락 감식초3숟가락 참기름 깨소금 소금약간'],Pescatarian
복숭아라씨,474,0,1,기타,과일류,차/음료/술,['재료 유청300ml 우유150ml 복숭아3개 얼음12컵 양념 꿀2T'],Lacto-Ovo_Vegetarian
블랙흑임자크림라떼,2652,0,1,기타,달걀/유제품,차/음료/술,['블랙베이스재료 블랙 코코아파우더3g 에스프레소2샷 흑임자크림베이스 동물성 휘핑크림60g 흑임자파우더10g 설탕5g 그 외 재료 얼음적당량 우유120ml 데코용 흑임자파우더약간'],Lacto-Ovo_Vegetarian
레몬갈레트프루통,299,0,15,굽기,밀가루,과자,['재료 무염버터150g 슈가파우더80g 소금2g 레몬 제스트7g 달걀노른자2개 레몬즙12g 바닐라 익스트랙1ts 박력분150g 아몬드가루30g 베이킹파우더1g 마무리 달걀노른자1개'],Lacto-Ovo_Vegetarian
애기고추찜,876,0,4,찜,채소류,밑반찬,['주재료 애기 고추80100개 밀가루23숟가락 양념재료 고춧가루2숟가락 진간장2숟가락 멸치액젓1숟가락 올리고당1숟가락 마늘약간 설탕약간 참기름1숟가락 깨소금솔솔'],Pescatarian
오리누룽지백숙,2391,0,1,끓이기,육류,밥/죽/떡,['재료 다향 통오리1마리16kg 정도 물22L 가시오가피34조각 황기1대 대파1대 마늘10톨 양파12개 말린 표고버섯2개 대추34개 누룽지2컵 찹쌀15컵 참기름장  참기름2스푼 소금1티스푼 후추약간 참깨약간'],Omnivore
바라타냉샐러드파스타,354,0,0,무침,달걀/유제품,샐러드,['재료 어린잎 부라타치즈 방울토마토 파파델레90g2뭉치 파르펠레20g10개 양념 올리브오일2스푼 레드페퍼약간 후추약간 소금약간'],Lacto-Ovo_Vegetarian
황제삼계탕,193,0,1,끓이기,닭고기,국/탕,['재료 닭2마리7호 낙지2마리 전복2마리 찹쌀2컵 녹두1컵 인삼2뿌리 대추조금 밤2알 마늘10개 은행10알'],Omnivore
오리고기짜장볶음,184,0,0,볶음,육류,메인반찬,['재료 양파14개 대파12대 오리고기200g 설탕 진간장3숟가락 설탕2숟가락 청주1숟가락 다진 마늘05숟가락 짜장가루1숟가락 후춧가루05작은숟가락'],Omnivore
복숭아절임,950,0,0,끓이기,과일류,디저트,['재료 복숭아7개 설탕240g종이컵 2컵 물800ml 소금1티스푼 레몬즙6스푼'],Super_Vegan
어묵짬뽕,166,0,0,끓이기,가공식품류,면/만두,['재료 고래사어묵면짬뽕330g 냉동모둠해물100g 냉동구운모둠야채60g 고춧가루2큰술 다진마늘1큰술 닭육수14L 중화면1인분'],Omnivore
대패삼겹살양배추덮밥,500,0,3,볶음,돼지고기,밥/죽/떡,['재료 대패 삼겹살300g 양배추300g 양송이버섯4개 깻잎10장 달걀 노른자1개 깨조금 양념 전통발효 간장1t 무설탕 굴소스12t 요리용 청주1t 알룰로스12t'],Omnivore
파스타과자,489,0,5,튀김,기타,과자,['재료 푸실리 면1컵 올리브유2스푼 꿀2스푼 소금2꼬집 시나몬 가루약간 통깨12스푼'],Vegan
복숭아통조림,1480,0,3,조림,과일류,디저트,['재료 복숭아7개딱복이 13kg 베이킹파우더1T 설탕200ml 레몬2T 레몬2조각'],Super_Vegan
용과먹는법,1010,0,0,기타,과일류,디저트,['재료 용과'],Super_Vegan
초고추장,2636,0,2,비빔,기타,양념/소스/잼,['기본 재료 고추장 식초 설탕 고춧가루 업글 재료 간마늘 깨소금 참기름 쪽파'],Super_Vegan
조개찜,1216,0,1,삶기,해물류,기타,['재료 조개민들 조개 청주또는 소주'],Pescatarian
샤브샤브소스,10235,0,15,기타,기타,양념/소스/잼,['재료 설탕 맛술 진간장 물 식초 고춧가루 연겨자 쪽파'],Super_Vegan
반건조우럭찜,2865,0,0,찜,건어물류,메인반찬,['재료 반건조 우럭2마리 대파12대흰 부분 청양고추많이 참기름2 국간장2 고춧가루1 맛술2 생강즙12생략했음 다진마늘1스푼 식초 소주 후추약간 통깨약간'],Pescatarian
체다치즈계란말이,696,0,0,부침,달걀/유제품,메인반찬,['재료 계란 스팸 대파 당근 모짜렐라치즈 체다치즈2장'],Omnivore
아구탕,7034,0,2,끓이기,해물류,국/탕,['재료 물15L 무 아귀1kg 콩나물 미나리 청양고추 코인육수 청주or 소주 고춧가루25 다진마늘1 소금15스푼 미원살짝 참기름'],Pescatarian
열무손질법,159,0,0,기타,기타,기타,['재료 열무'],Super_Vegan
스팸치즈토스트,90,0,2,굽기,가공식품류,빵,['재료 식빵2개 달걀1개 스팸2조각 양상추1조각 피망14개 양념 꿀1T 스리라차 소스소량'],Omnivore
열무얼갈이배추겉절이,1341,0,0,무침,채소류,밑반찬,['재료 열무 얼갈이 쪽파 고춧가루 참기름 통깨 겉절이양념'],Super_Vegan
옻닭,1455,0,0,끓이기,닭고기,국/탕,['재료 옻나무2덩이 월계수잎서비스로 받은 생닭삼계탕 팩 13호 통마늘1줌 생강 대파 소금'],Omnivore
바질닭가슴살파니니,307,0,0,굽기,닭고기,빵,['재료 치아바타빵1개 닭가슴살12개 선드라이토마토3개 모짜렐라치즈1줌 양념 바질페스토2T 마요네즈1T 꿀1t'],Omnivore
또띠야치킨랩,312,0,2,기타,닭고기,양식,['재료 또띠아1장 닭가슴살1개 체다치즈1장 양상추 오이 토마토 소스 마요네즈2수저 홀그레인머스터드1수저 알롤로스1수저 레몬즙05수저없어도 됨 후추'],Omnivore
매콤닭다리살볶음,977,0,44,볶음,닭고기,메인반찬,['재료 닭다리살600g 떡볶이 떡1줌 물120ml 소세지10개 양념 청양고추2개 고춧가루3스푼 다진마늘1스푼 올리고당5스푼 설탕2스푼 케첩2스푼 간장8스푼 미림2스푼'],Omnivore
오징어부추부침개,128,0,2,부침,채소류,메인반찬,['재료 부추12단 오징어2마리작은 사이즈 계란2개 부침가루2종이컵 식용유 물 계란2개계란물 소스 간장1스푼 식초2스푼'],Pescatarian
장어구이양념장,1216,0,8,비빔,기타,양념/소스/잼,['재료 고춧가루2T 고추장3T 진간장1T 참치액젓1T 매실청1T 물엿4T 맛술1T 참기름1T 다진생강1tor 생강가루 다진마늘1T 통깨1t'],Pescatarian
